team,R32,R16,QF,SF,Final,Third,Champion
Spain,100.0,100.0,100.0,100.0,56.78,29.4,36.61
France,100.0,100.0,100.0,100.0,43.22,36.94,26.63
England,100.0,100.0,100.0,74.18,43.03,12.99,17.72
Argentina,100.0,100.0,100.0,77.07,42.28,14.32,16.39
Norway,100.0,100.0,100.0,25.82,8.72,3.65,1.83
Switzerland,100.0,100.0,100.0,22.93,5.97,2.7,0.82
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Brazil,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Morocco,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,100.0,100.0,0.0,0.0,0.0,0.0,0.0
United States,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Netherlands,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,100.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Croatia,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0
